state,switch,mode,margin,n,level,stat,p,pm
MD,overall,crop introduction,producer's accuracy,52608,state,mean,0.8635627827149369,0.8367625709337825
MD,switch,crop discontinuation,user's accuracy,6701,state,median,0.7729975104504339,0.8367625709337825
MD,switch,crop discontinuation,producer's accuracy,6701,state,median,0.686416018039567,0.8367625709337825
MD,switch,crop introduction,user's accuracy,4900,state,median,0.7462068475011026,0.8367625709337825
MD,switch,crop introduction,producer's accuracy,4900,state,median,0.6539171921048025,0.8367625709337825
MD,no switch,crop discontinuation,user's accuracy,45907,state,median,0.9217862670977715,0.8367625709337825
MD,no switch,crop discontinuation,producer's accuracy,45907,state,median,0.9283303779259107,0.8367625709337825
MD,no switch,crop introduction,user's accuracy,47708,state,median,0.9300128377473975,0.8367625709337825
MD,no switch,crop introduction,producer's accuracy,47708,state,median,0.9277061014204446,0.8367625709337825
MD,overall,crop discontinuation,user's accuracy,52608,state,median,0.9137744241888359,0.8367625709337825
MD,overall,crop discontinuation,producer's accuracy,52608,state,median,0.9225553289041759,0.8367625709337825
MD,overall,crop introduction,user's accuracy,52608,state,median,0.923031992186726,0.8367625709337825
MD,overall,crop introduction,producer's accuracy,52608,state,median,0.9238489081177608,0.8367625709337825
ME,switch,crop discontinuation,user's accuracy,1033,state,mean,0.79155044666089025,0.8377203584963812
ME,switch,crop discontinuation,producer's accuracy,1033,state,mean,0.7865346510438884,0.8377203584963812
ME,switch,crop introduction,user's accuracy,1265,state,mean,0.8122272309573626,0.8377203584963812
ME,switch,crop introduction,producer's accuracy,1265,state,mean,0.8161258031580159,0.8377203584963812
ME,no switch,crop discontinuation,user's accuracy,7871,state,mean,0.8817893323839534,0.8377203584963812
ME,no switch,crop discontinuation,producer's accuracy,7871,state,mean,0.8439194337455272,0.8377203584963812
ME,no switch,crop introduction,user's accuracy,7639,state,mean,0.8793670318625998,0.8377203584963812
ME,no switch,crop introduction,producer's accuracy,7639,state,mean,0.837854987046329,0.8377203584963812
ME,overall,crop discontinuation,user's accuracy,8904,state,mean,0.8036716333999774,0.8377203584963812
ME,overall,crop discontinuation,producer's accuracy,8904,state,mean,0.7707771303327391,0.8377203584963812
ME,overall,crop introduction,user's accuracy,8904,state,mean,0.7811115576412102,0.8377203584963812
ME,overall,crop introduction,producer's accuracy,8904,state,mean,0.7449432957156352,0.8377203584963812
ME,switch,crop discontinuation,user's accuracy,1033,state,median,0.7910076859494708,0.8377203584963812
ME,switch,crop discontinuation,producer's accuracy,1033,state,median,0.7890902998887239,0.8377203584963812
ME,switch,crop introduction,user's accuracy,1265,state,median,0.8254225781267975,0.8377203584963812
ME,switch,crop introduction,producer's accuracy,1265,state,median,0.8302853063930901,0.8377203584963812
ME,no switch,crop discontinuation,user's accuracy,7871,state,median,0.9148003120115479,0.8377203584963812
ME,no switch,crop discontinuation,producer's accuracy,7871,state,median,0.8788644503606832,0.8377203584963812
ME,no switch,crop introduction,user's accuracy,7639,state,median,0.9134762541543191,0.8377203584963812
ME,no switch,crop introduction,producer's accuracy,7639,state,median,0.873202173113864,0.8377203584963812
ME,overall,crop discontinuation,user's accuracy,8904,state,median,0.910716128486043,0.8377203584963812
ME,overall,crop discontinuation,producer's accuracy,8904,state,median,0.8639044206810018,0.8377203584963812
ME,overall,crop introduction,user's accuracy,8904,state,median,0.9039097346204594,0.8377203584963812
ME,overall,crop introduction,producer's accuracy,8904,state,median,0.8607367261790191,0.8377203584963812
OK,switch,crop discontinuation,user's accuracy,28829,state,mean,0.8062980899577786,0.8455859283255015
OK,switch,crop discontinuation,producer's accuracy,28829,state,mean,0.6967016885289887,0.8455859283255015
OK,switch,crop introduction,user's accuracy,38101,state,mean,0.8198310336472597,0.8455859283255015
OK,switch,crop introduction,producer's accuracy,38101,state,mean,0.7279353688598164,0.8455859283255015
OK,no switch,crop discontinuation,user's accuracy,364307,state,mean,0.878184830457556,0.8455859283255015
OK,no switch,crop discontinuation,producer's accuracy,364307,state,mean,0.9070661928491729,0.8455859283255015
OK,no switch,crop introduction,user's accuracy,355035,state,mean,0.8728692899482411,0.8455859283255015
OK,no switch,crop introduction,producer's accuracy,355035,state,mean,0.8996775788525883,0.8455859283255015
OK,overall,crop discontinuation,user's accuracy,393136,state,mean,0.827991110949174,0.8455859283255015
OK,overall,crop discontinuation,producer's accuracy,393136,state,mean,0.8627913763677242,0.8455859283255015
OK,overall,crop introduction,user's accuracy,393136,state,mean,0.8057358424152998,0.8455859283255015
OK,overall,crop introduction,producer's accuracy,393136,state,mean,0.8388521115313868,0.8455859283255015
OK,switch,crop discontinuation,user's accuracy,28829,state,median,0.8353043121637668,0.8455859283255015
OK,switch,crop discontinuation,producer's accuracy,28829,state,median,0.7499801184715298,0.8455859283255015
OK,switch,crop introduction,user's accuracy,38101,state,median,0.8476383861817279,0.8455859283255015
OK,switch,crop introduction,producer's accuracy,38101,state,median,0.7815607082149919,0.8455859283255015
OK,no switch,crop discontinuation,user's accuracy,364307,state,median,0.8791279980266511,0.8455859283255015
OK,no switch,crop discontinuation,producer's accuracy,364307,state,median,0.9114546525196459,0.8455859283255015
OK,no switch,crop introduction,user's accuracy,355035,state,median,0.8775476738836784,0.8455859283255015
OK,no switch,crop introduction,producer's accuracy,355035,state,median,0.9111313745555062,0.8455859283255015
OK,overall,crop discontinuation,user's accuracy,393136,state,median,0.8739348036514356,0.8455859283255015
OK,overall,crop discontinuation,producer's accuracy,393136,state,median,0.9112462763010994,0.8455859283255015
OK,overall,crop introduction,user's accuracy,393136,state,median,0.8652938916656802,0.8455859283255015
OK,overall,crop introduction,producer's accuracy,393136,state,median,0.9059075698113372,0.8455859283255015
PA,switch,crop discontinuation,user's accuracy,3491,state,mean,0.7939618127686136,0.8460216670389898
PA,switch,crop discontinuation,producer's accuracy,3491,state,mean,0.7404602091387545,0.8460216670389898
PA,switch,crop introduction,user's accuracy,3837,state,mean,0.7875820093489713,0.8460216670389898
PA,switch,crop introduction,producer's accuracy,3837,state,mean,0.7376023884670756,0.8460216670389898
PA,no switch,crop discontinuation,user's accuracy,49413,state,mean,0.9050298864090591,0.8460216670389898
PA,no switch,crop discontinuation,producer's accuracy,49413,state,mean,0.8717914545121762,0.8460216670389898
PA,no switch,crop introduction,user's accuracy,49067,state,mean,0.9035243505283821,0.8460216670389898
PA,no switch,crop introduction,producer's accuracy,49067,state,mean,0.8688011060658869,0.8460216670389898
PA,overall,crop discontinuation,user's accuracy,52904,state,mean,0.8589052073331999,0.8460216670389898
PA,overall,crop discontinuation,producer's accuracy,52904,state,mean,0.8313905291037873,0.8460216670389898
PA,overall,crop introduction,user's accuracy,52904,state,mean,0.8534000668664772,0.8460216670389898
PA,overall,crop introduction,producer's accuracy,52904,state,mean,0.8248201176997333,0.8460216670389898
PA,switch,crop discontinuation,user's accuracy,3491,state,median,0.8235940409035649,0.8460216670389898
PA,switch,crop discontinuation,producer's accuracy,3491,state,median,0.7490425306944246,0.8460216670389898
PA,switch,crop introduction,user's accuracy,3837,state,median,0.8144691944957562,0.8460216670389898
PA,switch,crop introduction,producer's accuracy,3837,state,median,0.7490425306944246,0.8460216670389898
PA,no switch,crop discontinuation,user's accuracy,49413,state,median,0.924499700433114,0.8460216670389898
PA,no switch,crop discontinuation,producer's accuracy,49413,state,median,0.8783986316844655,0.8460216670389898
PA,no switch,crop introduction,user's accuracy,49067,state,median,0.923964205604922,0.8460216670389898
PA,no switch,crop introduction,producer's accuracy,49067,state,median,0.8769287532757039,0.8460216670389898
PA,overall,crop discontinuation,user's accuracy,52904,state,median,0.9199549252792185,0.8460216670389898
PA,overall,crop discontinuation,producer's accuracy,52904,state,median,0.8760628813478206,0.8460216670389898
PA,overall,crop introduction,user's accuracy,52904,state,median,0.9174120605649504,0.8460216670389898
PA,overall,crop introduction,producer's accuracy,52904,state,median,0.8738814157152732,0.8460216670389898
